Region, Percent, Type,
Austrailia and New Zealand, 99.9, Rural,
Austrailia and New Zealand, 99.9, Overall,
Austrailia and New Zealand, 99.9, Urban,
Central and Southern Asia, 89, Rural,
Central and Southern Asia, 91, Overall,
Central and Southern Asia, 95, Urban,
Eastern and South-Eastern Asia, 89, Rural,
Eastern and South-Eastern Asia, 94, Overall,
Eastern and South-Eastern Asia,98,Urban,
Latin America and the Caribbean,90,Rural,
Latin America and the Caribbean,97,Overall,
Latin America and the Caribbean,99.9,Urban,
North America and Europe,98,Rural,
North America and Europe,99.9,Overall,
North America and Europe,99.9,Urban,
Oceania,47,Rural,
Oceania,57,Overall,
Oceania,93,Urban,
Sub-Saharan Africa,49,Rural,
Sub-Saharan Africa,65,Overall,
Sub-Saharan Africa,87,Urban,
Western and Northern Africa,85,Rural,
Western and Northern Africa,92,Overall,
Western and Northern Africa,96,Urban,
