Entity,Year,Death_Rate
World Bank High Income,1990,0.05
World Bank High Income,1991,0.05
World Bank High Income,1992,0.04
World Bank High Income,1993,0.04
World Bank High Income,1994,0.04
World Bank High Income,1995,0.03
World Bank High Income,1996,0.03
World Bank High Income,1997,0.03
World Bank High Income,1998,0.03
World Bank High Income,1999,0.03
World Bank High Income,2000,0.03
World Bank High Income,2001,0.02
World Bank High Income,2002,0.02
World Bank High Income,2003,0.02
World Bank High Income,2004,0.02
World Bank High Income,2005,0.02
World Bank High Income,2006,0.02
World Bank High Income,2007,0.02
World Bank High Income,2008,0.02
World Bank High Income,2009,0.02
World Bank High Income,2010,0.02
World Bank High Income,2011,0.02
World Bank High Income,2012,0.02
World Bank High Income,2013,0.02
World Bank High Income,2014,0.02
World Bank High Income,2015,0.02
World Bank High Income,2016,0.02
World Bank High Income,2017,0.02
World Bank High Income,2018,0.02
World Bank High Income,2019,0.02
World Bank Low Income,1990,8.06
World Bank Low Income,1991,8.01
World Bank Low Income,1992,7.9
World Bank Low Income,1993,7.75
World Bank Low Income,1994,7.22
World Bank Low Income,1995,7.28
World Bank Low Income,1996,7.2
World Bank Low Income,1997,7.04
World Bank Low Income,1998,6.82
World Bank Low Income,1999,6.61
World Bank Low Income,2000,6.44
World Bank Low Income,2001,6.31
World Bank Low Income,2002,6.11
World Bank Low Income,2003,6.03
World Bank Low Income,2004,5.84
World Bank Low Income,2005,5.73
World Bank Low Income,2006,5.68
World Bank Low Income,2007,5.62
World Bank Low Income,2008,5.56
World Bank Low Income,2009,5.49
World Bank Low Income,2010,5.19
World Bank Low Income,2011,5.31
World Bank Low Income,2012,5.19
World Bank Low Income,2013,5.13
World Bank Low Income,2014,5.07
World Bank Low Income,2015,5.02
World Bank Low Income,2016,4.97
World Bank Low Income,2017,4.92
World Bank Low Income,2018,4.73
World Bank Low Income,2019,4.59
World Bank Lower Middle Income,1990,9.49
World Bank Lower Middle Income,1991,9.42
World Bank Lower Middle Income,1992,9.38
World Bank Lower Middle Income,1993,9.05
World Bank Lower Middle Income,1994,8.71
World Bank Lower Middle Income,1995,8.49
World Bank Lower Middle Income,1996,8.25
World Bank Lower Middle Income,1997,8.04
World Bank Lower Middle Income,1998,7.92
World Bank Lower Middle Income,1999,7.81
World Bank Lower Middle Income,2000,7.63
World Bank Lower Middle Income,2001,7.4
World Bank Lower Middle Income,2002,7.17
World Bank Lower Middle Income,2003,6.96
World Bank Lower Middle Income,2004,6.7
World Bank Lower Middle Income,2005,6.55
World Bank Lower Middle Income,2006,6.48
World Bank Lower Middle Income,2007,6.38
World Bank Lower Middle Income,2008,6.24
World Bank Lower Middle Income,2009,6.09
World Bank Lower Middle Income,2010,5.97
World Bank Lower Middle Income,2011,5.9
World Bank Lower Middle Income,2012,5.67
World Bank Lower Middle Income,2013,5.48
World Bank Lower Middle Income,2014,5.25
World Bank Lower Middle Income,2015,5.05
World Bank Lower Middle Income,2016,4.92
World Bank Lower Middle Income,2017,4.89
World Bank Lower Middle Income,2018,4.7
World Bank Lower Middle Income,2019,4.55
World Bank Upper Middle Income,1990,0.95
World Bank Upper Middle Income,1991,0.91
World Bank Upper Middle Income,1992,0.85
World Bank Upper Middle Income,1993,0.79
World Bank Upper Middle Income,1994,0.74
World Bank Upper Middle Income,1995,0.71
World Bank Upper Middle Income,1996,0.67
World Bank Upper Middle Income,1997,0.64
World Bank Upper Middle Income,1998,0.61
World Bank Upper Middle Income,1999,0.57
World Bank Upper Middle Income,2000,0.53
World Bank Upper Middle Income,2001,0.49
World Bank Upper Middle Income,2002,0.46
World Bank Upper Middle Income,2003,0.43
World Bank Upper Middle Income,2004,0.4
World Bank Upper Middle Income,2005,0.38
World Bank Upper Middle Income,2006,0.36
World Bank Upper Middle Income,2007,0.34
World Bank Upper Middle Income,2008,0.32
World Bank Upper Middle Income,2009,0.3
World Bank Upper Middle Income,2010,0.28
World Bank Upper Middle Income,2011,0.27
World Bank Upper Middle Income,2012,0.26
World Bank Upper Middle Income,2013,0.25
World Bank Upper Middle Income,2014,0.24
World Bank Upper Middle Income,2015,0.23
World Bank Upper Middle Income,2016,0.22
World Bank Upper Middle Income,2017,0.21
World Bank Upper Middle Income,2018,0.21
World Bank Upper Middle Income,2019,0.2
