Continent,Country,Code,Year,Water,GDP,Population
Asia,Afghanistan,AFG,2020,76.54,1970.560181,38972236
Europe,Albania,ALB,2020,96.95,13191.95215,2866850
Africa,Algeria,DZA,2020,99.42,10735.38281,43451668
Oceania,American Samoa,ASM,2020,99.77,,46216
Europe,Andorra,AND,2020,100,,77723
Africa,Angola,AGO,2020,66.46,6110.274414,33428490
North America,Anguilla,AIA,2020,,,15612
Antarctica,Antigua and Barbuda,ATG,2020,,17293.30273,92672
North America,Argentina,ARG,2020,,19690.66211,45036032
South America,Armenia,ARM,2020,99.97,12619.89258,2805610
Asia,Aruba,ABW,2020,,,106597
Oceania,Australia,AUS,2020,99.97,48678.68359,25670052
Europe,Austria,AUT,2020,100,51857.69141,8907780
Europe,Azerbaijan,AZE,2020,97.09,13726.76953,10284952
North America,Bahamas,BHS,2020,,30846.58398,406478
Asia,Bahrain,BHR,2020,100,41480.57813,1477478
Asia,Bangladesh,BGD,2020,98.85,4871.446289,167420944
North America,Barbados,BRB,2020,98.78,12655.40137,280704
Europe,Belarus,BLR,2020,99.91,19186.77539,9633745
Europe,Belgium,BEL,2020,100,48769.72656,11561716
North America,Belize,BLZ,2020,99.65,6121.843262,394931
Africa,Benin,BEN,2020,74.73,3323.144531,12643121
North America,Bermuda,BMU,2020,99.9,76626.52344,64051
Asia,Bhutan,BTN,2020,99.77,10551.45215,772512
South America,Bolivia,BOL,2020,93.53,7845.170898,11936169
North America,Bonaire Sint Eustatius and Saba,BES,2020,,,26178
Europe,Bosnia and Herzegovina,BIH,2020,99.94,14509.26563,3318410
Africa,Botswana,BWA,2020,96.94,14654.65137,2546404
South America,Brazil,BRA,2020,99.45,14063.98242,213196304
North America,British Virgin Islands,VGB,2020,99.86,,30934
Asia,Brunei,BRN,2020,99.9,62200.88281,441736
Europe,Bulgaria,BGR,2020,99.01,22379.09375,6979181
Africa,Burkina Faso,BFA,2020,78.49,2155.769287,21522632
Africa,Burundi,BDI,2020,81.65,731.0632324,12220229
Asia,Cambodia,KHM,2020,85.12,4191.566406,16396864
Africa,Cameroon,CMR,2020,78.6,3666.410645,26491090
North America,Canada,CAN,2020,99.22,46064.25391,37888704
Africa,Cape Verde,CPV,2020,96.67,6045.061035,582646
North America,Cayman Islands,CYM,2020,,67871.19531,67327
Africa,Central African Republic,CAF,2020,62.88,936.2875977,5343024
Africa,Chad,TCD,2020,60.93,1519.036743,16644707
South America,Chile,CHL,2020,100,23324.52539,19300318
Asia,China,CHN,2020,95.08,16315.81543,1424929792
South America,Colombia,COL,2020,97.68,13448.93262,50930656
Africa,Comoros,COM,2020,,2989.17041,806168
Africa,Congo,COG,2020,84.25,3433.958984,5702183
Oceania,Cook Islands,COK,2020,99.97,,17050
North America,Costa Rica,CRI,2020,100,19903.14063,5123107
Africa,Cote d'Ivoire,CIV,2020,79.84,5181.311035,26811792
Europe,Croatia,HRV,2020,,27076.97852,4096872
North America,Cuba,CUB,2020,98.47,,11300695
North America,Curacao,CUW,2020,,20309.09766,189298
Europe,Cyprus,CYP,2020,99.77,38816.09375,1237540
Europe,Czechia,CZE,2020,99.88,38511.26953,10530951
Africa,Democratic Republic of Congo,COD,2020,59.39,1082.44519,92853168
Europe,Denmark,DNK,2020,100,55819.91016,5825638
Africa,Djibouti,DJI,2020,90.81,5481.114746,1090162
North America,Dominica,DMA,2020,,10288.86719,72011
North America,Dominican Republic,DOM,2020,97.15,17003.01367,10999668
North America,Ecuador,ECU,2020,95.36,10329.19922,17588596
Africa,Egypt,EGY,2020,99.68,11951.44727,107465128
North America,El Salvador,SLV,2020,98.15,7982.625977,6292734
