Continent,Country,Code,Year,Water,GDP,Population,gdp_log
Asia,Afghanistan,AFG,2020,76.54,1970.560181,38972236,3.294589703
Europe,Albania,ALB,2020,96.95,13191.95215,2866850,4.120309067
Africa,Algeria,DZA,2020,99.42,10735.38281,43451668,4.030817535
Africa,Angola,AGO,2020,66.46,6110.274414,33428490,3.786060715
South America,Armenia,ARM,2020,99.97,12619.89258,2805610,4.101055658
Oceania,Australia,AUS,2020,99.97,48678.68359,25670052,4.687338825
Europe,Austria,AUT,2020,100,51857.69141,8907780,4.714813179
Europe,Azerbaijan,AZE,2020,97.09,13726.76953,10284952,4.137568342
Asia,Bahrain,BHR,2020,100,41480.57813,1477478,4.617844801
Asia,Bangladesh,BGD,2020,98.85,4871.446289,167420944,3.687657919
North America,Barbados,BRB,2020,98.78,12655.40137,280704,4.102275923
Europe,Belarus,BLR,2020,99.91,19186.77539,9633745,4.283001992
Europe,Belgium,BEL,2020,100,48769.72656,11561716,4.688150321
North America,Belize,BLZ,2020,99.65,6121.843262,394931,3.786882206
Africa,Benin,BEN,2020,74.73,3323.144531,12643121,3.52154923
North America,Bermuda,BMU,2020,99.9,76626.52344,64051,4.884379122
Asia,Bhutan,BTN,2020,99.77,10551.45215,772512,4.023312234
South America,Bolivia,BOL,2020,93.53,7845.170898,11936169,3.894602409
Europe,Bosnia and Herzegovina,BIH,2020,99.94,14509.26563,3318410,4.161645432
Africa,Botswana,BWA,2020,96.94,14654.65137,2546404,4.165975491
South America,Brazil,BRA,2020,99.45,14063.98242,213196304,4.148108315
Asia,Brunei,BRN,2020,99.9,62200.88281,441736,4.793796549
Europe,Bulgaria,BGR,2020,99.01,22379.09375,6979181,4.349842496
Africa,Burkina Faso,BFA,2020,78.49,2155.769287,21522632,3.33360228
Africa,Burundi,BDI,2020,81.65,731.0632324,12220229,2.863954942
Asia,Cambodia,KHM,2020,85.12,4191.566406,16396864,3.622376351
Africa,Cameroon,CMR,2020,78.6,3666.410645,26491090,3.564241105
North America,Canada,CAN,2020,99.22,46064.25391,37888704,4.663364041
Africa,Cape Verde,CPV,2020,96.67,6045.061035,582646,3.78140069
Africa,Central African Republic,CAF,2020,62.88,936.2875977,5343024,2.971409271
Africa,Chad,TCD,2020,60.93,1519.036743,16644707,3.181568279
South America,Chile,CHL,2020,100,23324.52539,19300318,4.367812815
Asia,China,CHN,2020,95.08,16315.81543,1424929792,4.212608784
South America,Colombia,COL,2020,97.68,13448.93262,50930656,4.128687818
Africa,Congo,COG,2020,84.25,3433.958984,5702183,3.535795104
North America,Costa Rica,CRI,2020,100,19903.14063,5123107,4.298921612
Africa,Cote d'Ivoire,CIV,2020,79.84,5181.311035,26811792,3.714439664
Europe,Cyprus,CYP,2020,99.77,38816.09375,1237540,4.589011828
Europe,Czechia,CZE,2020,99.88,38511.26953,10530951,4.585587835
Africa,Democratic Republic of Congo,COD,2020,59.39,1082.44519,92853168,3.034405915
Europe,Denmark,DNK,2020,100,55819.91016,5825638,4.746789133
Africa,Djibouti,DJI,2020,90.81,5481.114746,1090162,3.738868894
North America,Dominican Republic,DOM,2020,97.15,17003.01367,10999668,4.230525904
North America,Ecuador,ECU,2020,95.36,10329.19922,17588596,4.014066654
Africa,Egypt,EGY,2020,99.68,11951.44727,107465128,4.0774205
North America,El Salvador,SLV,2020,98.15,7982.625977,6292734,3.902145781
Europe,Estonia,EST,2020,99.59,35257.16016,1329449,4.547247328
Africa,Eswatini,SWZ,2020,80.26,8404.727539,1180663,3.924523639
Africa,Ethiopia,ETH,2020,76.36,2296.827393,117190920,3.361128359
Asia,Fiji,FJI,2020,94.3,11450.75098,920430,4.05883397
Europe,Finland,FIN,2020,100,47154.42578,5529468,4.673522461
Europe,France,FRA,2020,100,42320.52344,64480052,4.626551031
Africa,Gabon,GAB,2020,93.08,14320.84473,2292583,4.155968636
Africa,Gambia,GMB,2020,89.54,2156.754639,2574005,3.333800741
Asia,Georgia,GEO,2020,97.35,13966.32617,3765912,4.14508218
Europe,Germany,DEU,2020,100,51423.23438,83328992,4.711159389
Africa,Ghana,GHA,2020,92.38,5445.725586,32180402,3.736055753
Europe,Greece,GRC,2020,100,27072.61914,10512232,4.432530274
North America,Guatemala,GTM,2020,95.04,8393.28418,17362716,3.923931928
Africa,Guinea,GIN,2020,85.24,2670.823242,13205157,3.426645147
Africa,Guinea-Bissau,GNB,2020,73.05,1847.46582,2015839,3.266576412
South America,Guyana,GUY,2020,96.76,18679.95508,797207,4.271375828
North America,Haiti,HTI,2020,76.51,2934.24585,11306804,3.467496499
North America,Honduras,HND,2020,96.11,5138.385254,10121762,3.710826663
Asia,Hong Kong,HKG,2020,100,56153.97266,7500955,4.749380486
Europe,Hungary,HUN,2020,100,31098.39648,9750571,4.492737996
